title,image,description
"La mort de Gérard Detourbet, l’inventeur de la gamme « low cost » de Renault",https://img.lemde.fr/2019/12/16/31/0/2103/1402/110/74/60/0/8953cb5_JojJIP4ESNjdk1kb7MAsLDYF.jpg,"Mathématicien de formation, l’ingénieur a conçu et développé les véhicules à bas coûts pour la marque au losange fabriqués en Roumanie, en Inde puis en Chine. Il est mort le 5 décembre, à l’âge de 73 ans."
"Bertrand Landrieu, ancien directeur du cabinet du président Chirac, est mort",https://img.lemde.fr/2019/12/16/0/0/921/614/110/74/60/0/395049c_Eo2obOo4NHAjdt0rn3dWTqUn.jpg,"Ce haut fonctionnaire a fait la connaissance de l’ancien chef de l’Etat en 1973 et a dirigé son cabinet à l’Elysée entre 1995 et 2002. Fidèle parmi les fidèles, il restera auprès de Jacques Chirac après son départ du pouvoir, en 2007. Il est mort le 6 décembre, à l’âge de 74 ans."
"Felix Rohatyn, ancien ambassadeur américain en France, est mort",https://img.lemde.fr/2019/12/16/121/0/1491/994/110/74/60/0/844cb56_dDR5WGxDKYImcg55WsU0YxVi.jpg,"Son parcours est celui d’un immigrant d’Europe centrale chassé par la montée du nazisme. Banquier connu pour son sens de la négociation, il avait aussi contribué à sauver New York de la faillite. Il avait 91 ans."
"La disparition d’Anna Karina, héroïne naturelle du cinéma moderne",https://img.lemde.fr/2019/12/15/0/10/2670/1780/110/74/60/0/138488b_5225628-01-06.jpg,"L’actrice d’origine danoise, qui joua dans sept films de Jean-Luc Godard entre 1960 et 1967, est morte à Paris samedi 14 décembre, à l’âge de 79 ans."
"« Pierrot le Fou », « Vivre sa vie », « La Religieuse »… la carrière d’Anna Karina en images",https://img.lemde.fr/2019/12/15/0/51/2343/1562/110/74/60/0/568e68e_mzV2_rH4RQn2src_T26s-ss-.jpg,"« Qu’est-ce que j’peux faire ? J’sais pas quoi faire… », s’était demandée Anna Karina aux côtés de Belmondo. L’actrice égérie de la Nouvelle Vague s’est éteinte dimanche à l’âge de 79 ans."
"Anna Karina, légendaire actrice de la Nouvelle Vague, est morte",https://img.lemde.fr/2019/12/15/0/0/5472/3648/110/74/60/0/f373f4a_5224845-01-06.jpg,"Célèbre notamment pour ses rôles dans les films de Jean-Luc Godard, l’actrice et chanteuse d’origine danoise est morte à 79 ans des suites d’un cancer."
"Mort de Félix Rohatyn, ancien ambassadeur des Etats-Unis en France et légende de la finance",https://img.lemde.fr/2019/12/14/41/0/2562/1708/110/74/60/0/fc15372_e478496d3cec4f3fa2708508fe3baef8-e478496d3cec4f3fa2708508fe3baef8-0.jpg,"Cet ex-banquier, devenu diplomate, a été en poste à Paris de 1997 à 2000. Il est mort samedi à l’âge de 91 ans, à New York, ville qu’il a contribué à sauver de la faillite dans les années 1970."
"Mort de Bernard Lavalette, acteur, chansonnier et humoriste, à l’âge de 93 ans",https://img.lemde.fr/2019/12/14/0/0/5616/3744/110/74/60/0/e8feb3b_5220690-01-06.jpg,"Parmi ses principaux films figurent « Messieurs les ronds-de-cuir », « La Belle Américaine », « Un drôle de paroissien »…"
La mort de l’écrivain russe Nicolas Bokov,https://img.lemde.fr/2019/12/10/427/0/1199/796/110/74/60/0/8b507e9_wtuoLek4dl9WRijQv8cHKRiP.jpeg,"Exilé en France en 1975, l’auteur laisse une œuvre variée, à l’image de sa vie mouvementée. Un corpus qui va de la satire débridée à des poèmes à tonalité religieuse. Il est mort le 2 décembre, à l’âge de 74 ans."
"L’ancien maire de Moscou, Iouri Loujkov, est mort",https://img.lemde.fr/2019/12/10/56/0/3000/2000/110/74/60/0/89b3dad_00SeuNv0_JP_pwOKBtbWRJva.jpg,"Nommé en 1992 par Boris Eltsine à la tête de la capitale russe, cette grande figure de la scène politique a modernisé sa ville au pas de charge avant d’être accusé de « corruption » à la suite d’enquêtes diligentées par Poutine. Il est mort le 10 décembre, à l’âge de 83 ans."
Le journaliste sportif Denis Lalanne est mort,https://img.lemde.fr/2019/12/10/680/0/3744/2496/110/74/60/0/c83bff8_X4ddbCd5w8rkK_DPDnXbNwjB.jpg,"Ecrivain, conteur, reporter à « L’Equipe », il avait, d’une plume talentueuse, restitué les joies et les drames des compétitions de tennis, golf et rugby. Il est mort le 7 décembre, à l’âge de 93 ans."
"Iouri Loujkov, ancien maire de Moscou, est mort",https://img.lemde.fr/2019/12/10/300/0/2621/1743/110/74/60/0/79cb63e_ujEAtRb6-GSPvRA4LA8Ov_sw.jpg,"L’ex-édile, dont la réputation était entachée de nombreuses accusations de corruption, transforma la capitale russe de manière controversée entre 1992 et 2010."
"Paul Volcker, ancien président de la réserve fédérale américaine, est mort",https://img.lemde.fr/2019/12/09/0/4/4492/2995/110/74/60/0/dec9fec_Dedx6S0zDzdkyi4gLsYKg-Nq.jpg,"Président de l’institution monétaire américaine de 1979 à 1987, le banquier central mit fin à la stagflation qui affecta les économies occidentales après les chocs pétroliers de 1973 et 1979. Il est mort le 8 décembre, à l’âge de 92 ans."
"Mort de Paul Volcker, ancien président de la Fed et légende de la finance",https://img.lemde.fr/2019/12/09/0/75/3582/2388/110/74/60/0/16a7f28_1e112f5aff1e471cba0574cf6b84f161-1e112f5aff1e471cba0574cf6b84f161-0.jpg,"Doté d’un sens farouche de l’indépendance, Paul Volcker a traversé sa longue carrière de banquier et de grand commis de l’Etat en artiste de la politique monétaire."
"René Auberjonois, acteur de « Star Trek », est mort",https://img.lemde.fr/2019/12/08/28/2/2104/1403/110/74/60/0/7083aa3_97dee69187f844f2a6f27795a978dbe8-97dee69187f844f2a6f27795a978dbe8-0.jpg,"Cet acteur américain d’origine franco-suisse, qui incarnait le personnage d’Odo dans « Star Trek : Deep Space Nine » est décédé à Los Angeles des suites d’un cancer, à l’âge de 79 ans."
Le rappeur américain Juice WRLD meurt à l’âge de 21 ans,https://img.lemde.fr/2019/12/09/100/0/3708/2471/110/74/60/0/79c432a_C9NFxaG3gnGtSVBjkqTSyazn.jpg,"Le chanteur, de son vrai nom Jarad Anthony Higgins, a été pris d’un malaise cardiaque après l’atterrissage de son avion à Chicago, sa ville natale."
La mort du médecin humanitaire japonais Tetsu Nakamura,https://img.lemde.fr/2019/12/06/657/0/2000/1333/110/74/60/0/dcf92f4_4ls2pBqTuTy6zeCQEK9DKMXE.jpg,"Engagé depuis le début des années 1980 au Pakistan, puis en Afghanistan, dans la construction d’hôpitaux et de réseaux d’irrigation, l’humanitaire a été assassiné le 4 décembre sur une route à l’est de Kaboul. Il avait 73 ans."
La mort du chef étoilé André Daguin,https://img.lemde.fr/2019/12/05/419/0/1460/969/110/74/60/0/967feb1_mNVC11b9KBkQompnR11Pjzcf.jpg,"L’inventeur du magret de canard, défenseur d’une cuisine des terroirs et d’une agriculture respectueuse de l’environnement, est mort le 3 décembre, à l’âge de 84 ans."
"La mort de l’historien britannique, Michael Howard",https://img.lemde.fr/2019/12/03/104/0/3000/1991/110/74/60/0/ef111af_CbSGhFt3KX4WdrvdyBJucR5S.jpg,"Spécialiste de la guerre dont il intégrait, dans ses études, les dimensions sociales et politiques, ce chercheur avait fondé l’International Institute for Strategic Studies (IISS), un groupe de réflexion stratégique. Il est mort le 30 novembre, à l’âge de 97 ans."
Gastronomie : mort de l’ancien chef gascon André Daguin,https://img.lemde.fr/2019/12/03/127/0/2048/1365/110/74/60/0/18d238b_5153884-01-06.jpg,L’ancien chef étoilé et charismatique patron des restaurateurs français dans les années 2000 est décédé mardi à l’âge de 84 ans.
La mort du chef d’orchestre letton Mariss Jansons,https://img.lemde.fr/2019/12/02/0/15/2995/1997/110/74/60/0/064e27d_8tP7G_PTX1uv9Fpm8MBi5dRd.jpg,"Directeur musical du prestigieux Concertgebouw d’Amsterdam et de l’Orchestre symphonique de la Radio bavaroise, le chef s’est éteint à Saint-Pétersbourg, à l’âge de 76 ans."
"Yasuhiro Nakasone, ancien premier ministre du Japon, est mort",https://img.lemde.fr/2019/11/29/0/0/5315/3543/110/74/60/0/d5635bf__WamJXlbWthECpxrEStQDUqh.jpg,"Au cours de ses cinq années au pouvoir (1982-1987), le patriarche du parti conservateur a été la cheville ouvrière de l’ouverture de l’Archipel sur le monde. Il est mort le 29 novembre, à l’âge de 101 ans."
"Mort de Norodom Bopha Devi, danseuse étoile cambodgienne",https://img.lemde.fr/2019/11/25/305/0/2587/1723/110/74/60/0/7027259_3UefBJe3ffQFu9QjgbKBF8Qq.jpg,"Fille aînée du roi Norodom Sihanouk, elle avait consacré sa vie au Ballet royal du Cambodge, cénacle de la danse classique khmère. Mondialement connues, ses créations ont voyagé de Paris à New York ou Tokyo. Elle est morte le 18 novembre, à l’âge de 76 ans."
"Jean Morel, un des derniers survivants du commando Kieffer, est mort",https://img.lemde.fr/2019/11/25/551/2692/2491/1660/110/74/60/0/c21be44_Gy7zL8DPPKRDu5OcihQzZo5j.jpg,"Aux côtés des 177 fusiliers marins des Forces françaises libres du commando Kieffer, il avait participé au débarquement du 6 juin 1944 à Sword Beach."
"Jake Burton, le « père du snowboard », est mort",https://img.lemde.fr/2019/11/22/0/106/4563/3042/110/74/60/0/c20be21_5082997-01-06.jpg,"Créateur de la marque Burton et figure emblématique du snowboard, l’Américain est mort, mercredi, à l’âge de 65 ans."
"Colette Senghor, épouse et muse de l’ancien président du Sénégal, est morte",https://img.lemde.fr/2019/11/21/984/933/1063/708/110/74/60/0/db13068_zyipGZzsNQ8sb5dbG8eHzcIV.jpg,"Seconde femme de Leopold Sédar Senghor, Colette Hubert a été première dame du Sénégal pendant vingt ans. Admirée et respectée dans son pays d’adoption, elle est morte le 18 novembre, à l’âge de 93 ans."
Lutte contre la haine en ligne : le Sénat vote le texte amputé de sa mesure-phare,https://img.lemde.fr/2019/12/18/0/0/5145/3430/110/74/60/0/e12381b_-BmZrqYYty0EP7FfoB9OKwCj.jpg,"La proposition de loi, qui a été votée dans la nuit de mardi à mercredi, avait été approuvée largement cet été par l’Assemblée nationale en première lecture."
Du vin quotidien à la tolérance zéro,https://img.lemde.fr/2019/12/17/0/0/5703/3802/110/74/60/0/e64e4ac_xAlomHs1LzHrJlMYhvz8FMDB.jpg,"Dans sa chronique, Anne Rodier rappelle les dangers d’une consommation d’alcool importante sur les lieux de travail. Sans en appeler à une abstinence générale pour 2020 elle insiste sur une plus grande vigilance sur ce fléau."
Algérie : la confrontation de deux époques,https://img.lemde.fr/2019/12/07/0/4/4920/3280/110/74/60/0/0152374_wG8r4LhZBasAerDrKHlSftxI.jpg,"Le mouvement de contestation, le Hirak, mobilise depuis dix mois la jeunesse et les forces vives de la société civile contre un pouvoir militaire autocratique décidé à durer par tous les moyens, dont un simulacre d’élection présidentielle analyse dans une tribune au « Monde », José Garçon, membre de l’Observatoire de l’Afrique du Nord et du Moyen-Orient."
Heureux comme un étudiant en Suède,https://img.lemde.fr/2019/12/16/90/0/7542/5028/110/74/60/0/818b5ae_TogC2YTv_upHGl_ez0ABIf9I.jpg,"Bourses pour tous, prêts d’Etat : les jeunes Suédois disposent de facilités pour financer leurs études et les étaler dans le temps. Mais ce système est assorti de contraintes."
La mort du traducteur Bernard Kreiss,https://img.lemde.fr/2019/11/20/350/0/630/420/110/74/60/0/97f4e8d_eLByjf5jTPmjPzuZkqHGEOlT.jpg,"Spécialiste de la littérature de langue allemande, il a traduit entre autres Martin Walser, Thomas Bernhard, Elias Canetti, Siegfried Lenz… Distingué par de nombreux prix internationaux, il est mort le 26 octobre, à l’âge de 81 ans."
"Mort de Fred Mella, soliste du groupe vocal très populaire les Compagnons de la chanson",https://img.lemde.fr/2019/11/17/0/20/2859/1906/110/74/60/0/a799683_UJBMhHUUM3UMnAFh08d2z_L-.jpg,"Le chanteur de ce groupe, qui a marqué les années d’après-guerre, est mort samedi à l’âge de 95 ans."
"Mort d’Eric Morena, l’interprète de « Oh ! mon bateau »",https://img.lemde.fr/2019/11/16/365/0/1634/1088/110/74/60/0/9414729_5048231-01-06.jpg,"Le chanteur de variété, devenu célèbre dans les années 1980, a succombé à un cancer. Il avait 68 ans."
"Le créateur Josephus Thimister, ancien directeur artistique de Balenciaga, est mort",https://img.lemde.fr/2019/11/13/0/0/4896/3264/110/74/60/0/a8aaa5e_5029634-01-06.jpg,Le Néerlandais était âgé de 57 ans. Les circonstances et le lieu de sa mort n’ont pas été communiqués.
Mort de Raymond Poulidor : retour en images sur la carrière d’une légende du vélo,https://img.lemde.fr/2019/11/13/682/1093/3002/2001/110/74/60/0/33a7a47_mHlu5llnzmlQL974XOVtqB0J.jpg,"L’ancien champion cycliste, mort mercredi à l’âge de 83 ans, a traversé les époques, des années 1960 au XXIe siècle, en conservant une popularité intacte."
La petite reine pleure la mort de Raymond Poulidor,https://img.lemde.fr/2019/11/13/74/0/4050/2700/110/74/60/0/6069075_5025498-01-06.jpg,"Héros populaire par excellence, Raymond Poulidor, dit « Poupou », est mort mercredi à l’âge de 83 ans."
